All,Alla
"Customer Address %1","Kundadress %1"
"Default Address",Standardadress
Billing,Fakturering
has,har
"Customer %1","Kund %1"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Address Type",Adresstyp
"Order Status",Beställningsstatus
"Wish List",Önskelista
"is one of","är en av"
"is not one of","är inte en av"
"Grand Total",Totalsumma
"Gift Card",Presentkort
"Shopping Cart %1 Amount %2 %3:","Kundkorg %1 belopp %2 %3:"
"Number of Cart Line Items","Antal radartiklar i vagnen"
"Number of Shopping Cart Line Items %1 %2:","Antal produkter i kundvarukorgen %1 %2:"
"Products Quantity",Produktkvantitet
"Shopping Cart Products Qty %1 %2:","Antal produkter i varukorgen: %1 %2:"
"equals or greater than","är lika med eller större än"
"equals or less than","är lika med eller mindre än"
"greater than","större än"
"less than","mindre än"
"Up To Date",Aktuell
"Period %1 %2 Days Up To Date","Period %1 %2 dagar upp till datum"
"Use in Customer Segment","Använd i kundsegment"
"Enable Customer Segment Functionality","Aktivera kundsegments funktionalitet"
"Refresh Data","Uppdatera Data"
"Manage Segments","Hantera segment"
"View Combined Report","Visa kombinerad rapport"
"AVS result code","AVS resultatkod"
"CVN result code","CVN resultatkod"
"Card number",Kortnummer
"Card expiry date","Utgångsdatum för kort"
Decision,Beslut
"Risk Score",Riskbetyg
"Risk Factor",Riskfaktor
"Reference number",Referensnummer
"Excessive address change. The customer changed the billing address two or more times in the last six months","Överdriven adressändring. Kunden har ändrat faktureringsadressen två eller fler gånger under de senaste sex månaderna"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Kort BIN eller auktorisering risk. Riskfaktorer är relaterade till kreditkort BIN eller kontroller av korttillstånd"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Högt antal kontonummer. Kunden använt mer än sex kreditkort nummer under de senaste sex månaderna"
"Email address impact. The customer uses a free email provider, or the email address is risky","E-postadress inverkan. Kunden använder en gratis e-postleverantör eller e-postadressen är riskabelt"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Positivlista. Kunden är på din positiva lista. Beslut Manager Developer Guide använder ""Simple Order AP "" januari 201 10 tilläggsinformation och svarskod"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Negativ lista. Kontonummer, gatuadress, e-postadress, eller IP-adressen för den här ordern visas på din negativa lista"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Geolocation inkonsekvenser. Kundens e-postdomän, telefonnummer, faktureringsadress, leveransadress eller IP-adress är misstänkt"
"Excessive name changes. The customer changed the name two or more times in the last six months","Överdriven namnändringar. Kunden har ändrat namn två eller fler gånger under de senaste sex månaderna"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internet inkonsekvenser. IP-adress nd e-domänen inte är förenliga med faktureringsadressen"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Meningslöst input. Kundens namn och adress fält innehåller meningslösa ord eller språk"
"Obscenities. The customer’s input contains obscene words","Obsceniteter. Kundens indata innehåller obscena ord"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identitet morphing. Flera värden för ett dentity element är kopplade till ett värde av en annan identitet-element. Till exempel är flera telefonnummer kopplade till ett enda kontonummer"
"Phone inconsistencies. The customer’s phone number is suspicious","Inkonsekvenser i telefondata. Kundens telefonnummer är misstänkta"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Riskabelt beställning. Den transaktion, kunden och handlaren information finns flera riskfyllda korrelationer"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Tid hedge. Kunden försöker utföra ett köp utanför de beräknade timmarna"
"Unverifiable address. The billing or shipping address cannot be verified","Okontrollerbar adress. Fakturerings-eller leveransadress inte kan verifieras"
"Velocity. The account number was use  many times in the past 15 minutes","Hastighet. Kontonumret blev använt många gånger under de senaste 15 minuterna"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Markerats som misstänkt. Fakturerings- eller leveransadress är liknande till en adress som tidigare markerats som misstänkt"
"%1 does not implement %2","%1 implementerar inte %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Fil app/etc/%1 kan inte läsas. Kontrollera om filen finns och har läsbehörighet."
"There are no sensitive configurations to fill","Det finns inga känsliga konfigurationer att fylla i"
"A configuration with this path does not exist or is not sensitive","En konfiguration med denna väg finns inte eller är inte känslig"
"Compilation from source: ","Sammanställning från källan: "
"Wrong deploy strategy type: %1","Fel distribueringsstrategi typ %1"
"some message","något meddelande"
"Format for IDE '%1' is not supported","Formatet för IDE '%1' stöds inte"
"Client side compilation doesn't work in production mode","Client side kompilering fungerar inte i produktionsläge"
"Client side less compilation",Klientsidskompilering
"Server side less compilation","Serversida mindre komplimering"
"Frontend Development Workflow","Frontend utveckling arbetsflöde"
"Workflow type",Arbetsflödestypen
"Developer Client Restrictions","Utvlecklare och Klient Begränsningar"
"Allowed IPs (comma separated)","Tillåtna IPs (kommaavgränsad)"
"Leave empty for access from any location.","Lämna tom för åtkomst från valfri plats."
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Välj detta för att tillåta DHL att optimera fraktkostnader genom att dela upp ordern om det överstiger %1 %2."
"Wrong Content Type","Fel typ av innehåll"
Kilograms,Kg
Inches,Tum
Centimeters,Centimeter
inch,tum
Height,Höjd
Depth,Djup
Width,Bredd
Regular,Vanlig
Specific,Specifika
"Easy shop",Lätthandel
Secureline,"Säker Lina"
"Express easy","Enkel Express"
"Medical express","Medicinsk express"
"Domestic economy select","Inhemska ekonomin väljer"
"Economy select","Välj ekonomi"
"Domestic express","Inhemsk express"
"Account Number",Kontonummer
"Weight Unit",Viktenhet
Size,Storlek
kgs,kg
"Undefined rate from ""%1-%2"".","Odefinierad kurs mellan ""%1"" & ""%2""."
"Please correct the target currency.","Korrigera valutan."
"We can't retrieve a rate from %1 for %2.","Vi kan inte hämta en kurs för %2 från %1."
"FATAL ERROR:","DÖDLIGT FEL:"
"Please specify the correct Import Service.","Ange korrekt importtjänst."
WARNING:,VARNING:
"Please correct the country code: %1.","Korrigera landskod: %1."
"Country and Format Type combination should be unique","Land och formattypskombination ska vara unikt"
"Please correct the rates received","Korrigera de hämtade kurserna"
"Your current currency is: %1.","Din aktuella valuta är: %1."
Continue,Fortsätt
"Currency Update Warnings","Varningar vid valutauppdateringar"
"Currency Setup",Valutainställningar
"Currency Options",Valutaval
"Base Currency",Basvaluta
"Default Display Currency","Förvald visingsvaluta"
"Allowed Currencies","Tillåtna valutor"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
Service,Tjänst
"Document is not saved due to error.","Dokumentet sparas inte på grund av fel."
"More than one node matching the query: %1","Mer än en nod matchar frågan: %1"
"Invalid XML in file %1:\n%2","Ogiltig XML i filen %1:\n%2"
"Invalid Document \n%1","Ogiltigt dokument \n%1"
"Downloadable Information","Nedladdningsbar Information"
"Add New Link","Lägg till Ny Länk"
"Upload Files","Ladda upp Filer"
Unlimited,Obegränsat
"Something went wrong while getting the requested content.","Något gick fel medan det begärda innehållet hämtades."
"My Downloadable Products","Min nedladdningsbara produkter"
"We can't find the link you requested.","Vi kan inte hitta länken du begärt."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Logga in att ladda ner din produkt eller köpa <a href=""%1"">%2</a>."
"Please sign in to download your product.","Logga in för att hämta din produkt."
"The link has expired.","Länken har upphört att gälla."
"The link is not available.","Länken är inte tillgänglig."
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, gick det inte att få begärda innehållet. Vänligen kontakta butiksägaren."
"Please set resource file and link type.","Vänligen ange resursfil och länktyp."
"Invalid download link type.","Ogiltig länk för nedladdning."
"Provided content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Provided file name contains forbidden characters.","Filnamnet innehåller ogiltiga tecken."
"Link file not provided","Länkfil ej tillhandahållen"
"Link price must have numeric positive value.","Länkpris måste ha numeriska positivt värdem."
"Number of downloads must be a positive integer.","Antalet nedladdningar måste vara ett positivt heltal."
"Sort order must be a positive integer.","Sorteringsordning måste vara ett positivt heltal."
"Link URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Provided file content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Sample URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Order id cannot be null","Order-id får inte vara null"
"Order item id cannot be null","Order-id får inte vara null"
Pending,Väntar
Links,Länkar
"Add Link","Lägg till länk"
"Go to <a href=""%1"">My Downloadable Products</a>","Gå till <a href=""%1""> Mina Nedladdningsbara Produkter</a>"
"View Order","Visa beställning"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
Downloads,Nerladdningar
"Default Label",Standardetikett
"Default label",Standardetikett
"Values Required","Värden krävs"
"Decimal Number",Decimaltal
"Integer Number",Heltal
Letters,Bokstäver
"Letters (a-z, A-Z) or Numbers (0-9)","Bokstäver (a-z, A-Z) eller nummer (0-9)"
"Input type ""%value%"" not found in the input types list.","Indatatyp ""%value%"" hittades inte i listan över inmatningstyper."
"Entity object is undefined","Enhetsobjekt är inte definierad"
"There is no such data mapper ""%1"" for interface %2","Det finns ingen sådan data mapper ”%1” för gränssnitt %2"
"Data mapper ""%1"" must implement interface %2","Data mapper ”%1” måste implementera gränssnitt %2"
"Could not ping search engine: %1","Kunde inte pinga sökmotor: %1"
"Elasticsearch Server Hostname","Elasticsearch Server Hostnamn"
"Elasticsearch Server Port","ElasticSearch Server Port"
"Elasticsearch Index Prefix","ElasticSearch Index Prefix"
"Enable Elasticsearch HTTP Auth","Aktivera Elasticsearch http-Auth"
"Elasticsearch HTTP Username","ElasticSearch http-användarnamn"
"Elasticsearch HTTP Password","ElasticSearch http-användarnamn"
"Elasticsearch Server Timeout","ElasticSearch Server Timeout"
"Test Connection","Prova anslutningen"
"Add New Template","Lägg till ny mall"
"Transactional Emails","Transaktionella mail"
"Delete Template","Ta bort mallen"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Return Html Version","Återställ Html-version"
"Preview Template","Förhandsgranska mall"
"Save Template","Spara mall"
"Load Template","Hämta mall"
"Edit Email Template","Redigera e-postmall"
"New Email Template","Ny e-postmall"
"Template Information","Information om mallar"
"Currently Used For","Nuvarande använd"
"Template Name","Mallens namn"
"Template Subject","Mall ämne"
"Insert Variable...","Infoga variabel..."
"Template Content",Mallinnehåll
"Template Styles",Mallstilar
"You deleted the email template.","Du tog bort e-postmallen."
"The email template is currently being used.","E-postmallen används för närvarande."
"We can't delete email template data right now. Please review log and try again.","Vi kan inte ta bort e-post malldata just nu. Vänligen Granska loggen och försök igen."
"We can't find an email template to delete.","Vi kan inte hitta en e-postmall ta bort."
"Edit Template","Redigera mall"
"Edit System Template","Redigera systemmall"
"New Template","Ny mall"
"New System Template","Ny system mall"
"Email Templates",E-postmallar
"Email Preview","Förhandsgranskning av E-post"
"An error occurred. The email template can not be opened for preview.","Ett fel uppstod. E-postmallen kan inte öppnas för förhandsgranskning."
"This email template no longer exists.","Detta e-postmallen finns inte längre."
"You saved the email template.","Du har sparat e-postmallen."
"Template Variables",Mallvariabler
"Please enter a template name.","Vänligen ange ett Mallnamn."
"Duplicate Of Template Name","Dubblett av Mallnamn"
"Invalid transactional email code: %1","Ogiltig transaktionell epost-kod: %1"
"Requested invalid store ""%1""","Begärde ogiltig webbshop ""%1"""
"""file"" parameter must be specified","""fil"" parameter måste anges"
"""file"" parameter must be specified and must not be empty","""fil""-parametern måste anges och får inte vara tom"
"Design params must be set before calling this method","Design parametrarna måste anges innan du anropar den här metoden"
"Error filtering template: %s","Fel filtrering på mall: %s"
"We're sorry, an error has occurred while generating this content.","Vi beklagar, ett fel har uppstått vid generering av detta innehåll."
"Invalid sender data","Ogiltiga avsändar data"
"Are you sure you want to strip tags?","Är du säker du vill rensa Taggar?"
"Are you sure you want to delete this template?","Är du säker på att du vill ta bort den här mallen?"
"The template did not load. Please review the log for details.","Det gick inte att läsa in mallen. Vänligen Granska loggen för detaljer."
"Thank you, %store_name","Tack, %store_name"
"No Templates Found","Inga mallar hittade"
"Template Type",Malltyp
"Logo Image",Logotypbild
"Logo Image Alt","Logo bild Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Behövs endast om en bild har laddats ovan. Ange antalet pixlar, utan att lägga till ""px""."
"Logo Width","Logotyp bredd"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Behövs endast om en bild har laddats ovan. Ange bildstorlek höjd i pixlar utan att lägga till ""px""."
"Logo Height",Logotyphöjd
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-postmallen valt baserat på temafallback när ""Standard"" alternativet är valt."
"Header Template","Header mall"
"Footer Template",Sidfot-mall
"Change Encryption Key","Ändra krypteringsnyckeln"
"Encryption Key",Krypteringsnyckel
"New Encryption Key","Ny Krypteringsnyckel"
"The encryption key is used to protect passwords and other sensitive data.","Krypteringsnyckeln används för att skydda lösenord och andra känsliga data."
"Auto-generate a Key","Auto-generera en nyckel"
"The generated key will be displayed after changing.","Den genererade nyckeln kommer visas efter byte."
"New Key","Ny nyckel"
"Deployment configuration file is not writable.","Distributionskonfigurationsfilen är inte skrivbar."
"Please enter an encryption key.","Ange en krypteringsnyckel."
"The encryption key has been changed.","Krypteringsnyckeln har ändrats."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Detta är din nya krypteringsnyckel: %1. Glöm inte att skriva ner det och ta hand om det!"
"Manage Encryption Key","Hantera krypteringsnyckel"
"Private Sales",Privatförsäljning
"Address Verification","Adress kontroll"
"Email Verification",E-postverifiering
"Mobile Verification","Mobil verifiering"
"Phone Verification","Mobil verifiering"
"Response Code",Svarskod
"Fraud Message","Bedrägeri meddelande"
"Approve Message","Godkänn meddelande"
"Wrong response type","Fel svarstyp"
"Connection Type",Anslutningstyp
"Europe First Priority","Europa första prioritet"
"1 Day Freight","1 dagsfrakt"
"2 Day Freight","2 dagars frakt"
"2 Day","2 dagars"
"3 Day Freight","3-dagars frakt"
Ground,Marken
"First Overnight","Prioritet över natten"
"Home Delivery",Hemleverans
"International Economy","Internationell ekonomi"
"Intl Economy Freight","Intl ekonomi frakt"
"International First","Internationella först"
"International Ground","Internationell mark"
"International Priority","Internationella först"
"Intl Priority Freight","Internationell prioriterad frakt"
"Priority Overnight","Prioritet över natten"
"Smart Post","Smarta inlägg"
"Standard Overnight","Standard över natten"
Freight,Frakt
"National Freight","Nationella godstransporter"
"Regular Pickup","Regelbunden avhämtning"
"Request Courier","Begär Transportör"
Station,Position
"FedEx Envelope","FedEx kuvert"
Adult,Vuxen
Direct,Direkt
"Empty response","Tomt svar"
"Account ID",Konto-ID
"Allowed Methods","Tillåtna metoder"
"The field is applicable if the Smart Post method is selected.","Fältet används om metoden Smart Post är markerad."
"Gift Card Information",Presentkortinformation
Virtual,Virtuell
Physical,Fysisk
Combined,Kombinerat
"Add Amount","Lägga till beloppet"
"Gift Card Type",Presentkorttyp
"Gift Card Sender","Present kort avsändaren"
"Gift Card Recipient",Presentkortsmottagare
"Gift Card Message",Presentmeddelande
"Gift Card Lifetime","Presentkorts livstid"
"Gift Card Is Redeemable","Presentkortet kan lösas in"
"We cannot create this gift card.","Vi kan inte skapa detta presentkort."
"Gift Card Accounts",Presentkortkonton
"Duplicate amount found.","Duplicera funnen mängd."
"Something went wrong while preparing the gift card.","Något gick fel när du sparade gåvomeddelande."
"Please specify a gift card amount.","Vänligen ange ett present kort belopp."
"Please specify all the required information.","Vänligen ange all nödvändig information."
"Gift Card max amount is %1","Present kort max beloppet är %1"
"Gift Card min amount is %1","Present kort min beloppet är %1"
"Please specify a recipient name.","Vänligen ange en mottagares namn."
"Please specify a sender name.","Vänligen ange ett avsändarnamn."
"Please specify a recipient email.","Vänligen ange en mottagares e-post."
"Please specify a sender email.","Vänligen ange en avsändares E-post."
"Recipient Name",Mottagarnamn
"Recipient Email","Mottagarens e-post"
Redeemable,"Lösas in"
"Add Gift Card Account","Lägg till Presentkortskonto"
"Save & Send Email","Spara & skicka e-post"
"Edit Gift Card Account: %1","Lägg till Presentkortskonto %1"
"New Gift Card Account","Lägg till Presentkortskonto"
"Gift Card Code",Presentkortskod
"Send Gift Card","Skicka presentkort"
"Send Email from the Following Store View","Skicka E-post från följande Butiksvy"
"-- First Please Select a Website --","--Vänligen välj först en webbplats--"
Available,Tillgänglig
"Customer #%1.","Kund #%1."
"test message",testmeddelande
Generate,Generera
" of "," av "
"Click here","Klicka här"
"Code Length",Kodlängd
"Excluding prefix, suffix and separators.","Exklusive prefix, suffix och separatorer."
"Code Format",Kodformat
"Code Prefix",Kodprefix
"Code Suffix",Kodsuffix
"Dash Every X Characters","Använd ""-"" för varje X tecken"
"Unknown entity type","Okänd enhetstyp"
"Test label","Test etikett"
"Gift Options",Presentalternativ
"Do you have any gift items in your order?","Har du några presentartiklar i beställningen?"
"Are you sure you want to delete this gift registry?","Är du säker på att du vill ta bort denna gåva?"
"Delete Registry","Ta bort Register"
"Gift Registry Entity","Gåvoregister Enhet"
"Product ID",Produkt-id
"Add to Gift Registry","Lägg till gåvoregistret"
"Are you sure you want to add these products?","Är du säker på att du vill lägga till dessa produkter?"
Requested,"Förfrågan har skickats"
Fulfilled,Uppfyllda
Note,Anteckning
"Update Quantity","Uppdatera Antal"
"Remove Item","Ta bort Artikel"
"Sharing Information",Delningsinformation
Emails,E-post
"Send From","Skicka från"
"Gift Registry","Gåva registret"
Registrants,Registrerade
Long,Lång
"Select Search Type","Välj söktyp"
"Edit Type","Redigera typ"
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"This product(s) is out of stock.","Den här produkten är slut i lager."
"An item option with code %1 already exists.","Ett produktalternativ med koden %1 finns redan."
New,Ny
"Please enter the first name.","Ange förnamn."
"Please enter the last name.","Ange efternamn."
"-- All --","-- Alla --"
"Is Searcheable","Är sökbar"
"Date Format",Datumformat
"Select a shipping address from your address book or enter a new address.","Välj en leveransadress från din adressbok eller ange en ny adress."
"Qty Fulfilled","Antal uppfyllda"
Sender,Avsändare
Invitee,Inbjudna
"Add Invitee","Lägg till inbjudna"
Location,Plats
"Unit Price",Styckpris
"Created For:","Skapad för:"
"General Options","Allmänna inställningar"
"Default Template","Förvald mall"
Listed,Listad
"Gift Wrapping",Presentinslagning
"Add Gift Wrapping","Lägg till Presentinslagning"
"Are you sure you want to delete this gift wrapping?","Är du säker på att du vill radera denna gåvopacketering?"
"Edit Gift Wrapping ""%1""","Redigera presentförpackning ""%1"""
"New Gift Wrapping","Lägg till Presentinslagning"
"Gift Wrapping Information",Presentinslagningsinformation
"Gift Wrapping Design","Gåvoförpacknings Design"
"Please request the correct gift wrapping.","Vänligen begär den rätta presentförpackningen."
"You updated a total of %1 records.","Du uppdaterat totalt %1 rader."
"Something went wrong while updating the wrapping(s) status.","Något gick fel under uppdateringen av produkt(ernas) status."
"You deleted the gift wrapping.","Du tagit bort presentpapper."
"You have not uploaded the image.","Du har inte laddat upp bilden."
"Excluding Tax","Exklusive moms"
"Including Tax","Inklusive moms"
"Including and Excluding Tax","Inklusive och exklusive moms"
"No image","Ingen bild"
Constant,Konstant
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Färgkonverteringsvärde är inte giltigt ""%1"". Ange 6-siffrigt hexadecimalsvärde."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konverteringsvärde för Id ""%1"" är inte giltigt. Konverterings-Id bör vara ett heltal."
"Conversion ID",Konvertering-ID
"Conversion Language",Konverteringsspråk
"Conversion Format",Konverteringsformat
"Conversion Color",Konverteringsvärde
"Conversion Label","Konvertering etikett"
"Conversion Value Type","Konverteringstyp för Värdet"
"Conversion Value",Konverteringsvärde
"Anonymize IP","Anonymisera IP"
"Product View Optimization","Produktvy optimering"
"Page View Optimization","Sidvy Optimering"
"Data key is missing: %1","Datanyckeln saknas: %1"
"Experiment Code",Experimentkoden
"Experiment code should be added to the original page only.","Experimentkoden bör enbart läggas till den ursprungliga sidan."
"Enable Content Experiments","Aktivera innehållsexperiment"
"Category View Optimization","Kategorivy optimering"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics utökade Ecommerce inställningar"
"Send to Google","Skicka till Google"
Creative,Kreativ
"Google Tag Manager","Google Taggstyrning"
"Account type",Kontotyp
"Container Id",Behållar-Id
"List property for the catalog page","Listegenskap för katalogSidan"
"List property for the cross-sell block","Listegenskap för korsförsäljning av blocket"
"List property for the up-sell block","Listegenskap för upsell block"
"List property for the related products block","Listegenskap för blocket relaterade produkter"
"List property for the search results page","Listegenskap för sökresultatsidan"
"’Internal Promotions’ for promotions field “Label”.","'Interna kampanjer' för kampanjer fältet ""Label""."
"Grouped Products","Grupperade produkter"
"Please specify the quantity of product(s).","Vänligen välj antalet produkter."
"Cannot process the item.","Kan inte bearbeta artikeln."
"Add Products to Group","Lägg till produkter i grupp"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","En grupperad produkt består av flera enskilda produkter som presenteras tillsammans som en grupp. Du kan erbjuda variationer av en produkt, eller gruppera produkter efter säsong eller tema för att skapa ett passande urval. Varje produkt kan köpas separat, eller som en del av gruppen."
"There are no grouped products.","Det finns inga grupperade produkter."
"Default Qty","Förvalt Antal"
"Starting at",Från
"Grouped product items","Grupperade produktartiklar"
"Grouped Product Image","Grupperade Produktbilder"
"Export Settings","Exportera Inställningar"
"Entity Type","Typ av enhet"
"Export File Format","Filformat för export"
"Fields Enclosure","Inkapsla fält"
"Fixed Price: From","Fast pris: från"
"Unknown attribute filter type","Okänt attributtyp för filter"
"Check Data","Kontrollera data"
"Import Settings","Importera inställningar"
"Import Behavior",Importbeteende
"Allowed Errors Count","Antal tillåtna fel"
"Please specify number of errors to halt import process","Vänligen ange antalet fel att stoppa importen"
"Field separator",Fältavgränsare
"Fields enclosure","Inkapsla fält"
"Select File to Import","Välj fil att importera"
"Import History",Importhistorik
"Import history",Importhistorik
User,Användare
"Indexer Management",Indexhantering
"Update by Schedule","Uppdatera efter Schema"
"Update on Save","Uppdatera vid Spara"
"Reindex required","Indexering krävs"
Ready,Redo
Processing,Bearbetar
"%1 index is locked by another reindex process. Skipping.","%1 index är låst av en annan reindex process. Hoppar över."
"Index Management",Indexhantering
"Please select indexers.","Vänligen välj indexerare."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) är i ""Uppdatering av schema""-läge."
"We couldn't change indexer(s)' mode because of an error.","Vi kunde inte ändra indexer(s)' läge på grund av ett fel."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexen är i ""Uppdatering på Spara"" läge."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","En eller flera <a href=""%1""> indexerare är ogiltiga</a>. Kontrollera din <a href=""%2"" target=""_blank""> Magento cron-jobb</a> körs."
"State for the same indexer","Tillstånd för sammaindexerare"
"State for the same view","Tillstånd för samma vy"
"Field '%1' not found","Fältet '%1' hittades inte"
"Some Exception Message","Något gick fel"
"Test Phrase","Test fras"
"Change indexer mode","Ändra indexeraren läge"
Indexer,Indexerare
Mode,Läge
"Shipping Method",Leveransmetod
Integrations,Integrationer
"Add New Integration","Lägg till ny Integration"
"Save & Activate","Spara & aktivera"
"New Integration","Ny integration"
"Edit Integration '%1'","Redigera Integration '%1'"
"Integration Info",Integrationsguide
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Ange webbadressen där Oauth identifieringsinformation kan skickas när du använder Oauth-token exchange. Vi rekommenderar att du använder https://."
"Identity link URL","Identitet länk-URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL för att omdirigera användaren för att länka deras 3: e part konto med denna Magento integration autentiseringsuppgifter."
"Integration Details","Inställningar för intregration"
"Integration Tokens for Extensions","Integration-Tokens för Extensioner"
"Consumer Key",Konsumentnyckeln
"Consumer Secret",Konsumenthemlighet
"Access Token",Åtkomsttoken
"Uninstall the extension to remove this integration","Avinstallera tillägget för att ta bort denna integration"
"Resource Access",Resursåtkomst
Invitations,Inbjudningar
"Add Invitations","Lägg till Inbjudningar"
"New Invitations","Ny Inbjudning"
"Invitations Information","Information om inbjudningar"
"Enter Each Email on New Line","Ange varje e-postadress på ny rad"
"Invitee Group","Inbjuden grupp"
"View Invitation for %1 (ID: %2)","Se inbjudan för %1 (ID: %2)"
"Discard Invitation","Kassera inbjudan"
"Are you sure you want to discard this invitation?","Är du säker på att vill kasta den här inbjudan?"
"Save Invitation","Spara inbjudan"
"Send Invitation","Skicka inbjudan"
"Default from System Configuration","Standard från systemkonfiguration"
"Status History",Statushistorik
"Order Conversion Rate","Konverteringsgrad för ordrar"
"We discarded %1 of %2 invitations.","Vi tog bort %1 av %2 inbjudningar."
"Something went wrong while sending invitations.","Något gick fel vid skickandet av inbjudningar."
Link,Länk
"Customer ID",Kund-ID
"Maximum %1 email addresses allowed.","Maximala %1 e-postadresser tillåtna."
"Filterable (with results)","Filtrerbara (med resultat)"
"Filterable (no results)","Filtrerbara (inga resultat)"
"Use in Layered Navigation","Användning i Filternavigering"
"Use in Search Results Layered Navigation","Användning i sökresultat för filternavigering"
"Position in Layered Navigation","Position i Filternavigering"
"Position of attribute in layered navigation block.","Placering av attribut i filternavigeringsblock."
item,artikel
items,artiklar
"Now Shopping by","Handlar nu enligt"
"Layered Navigation",Filternavigering
"Display Product Count","Visa produktantal"
"Price Navigation Step Calculation","Pris Navigation stegberäkning"
"Default Price Navigation Step","Standard pris Navigations steg"
"Maximum number of price intervals is 100","Maximalt antal pris intervall är 100"
"This setting will be applied when all prices in the specific price interval are equal.","Den här inställningen tillämpas när alla priser i det specifika kursintervallet är lika."
"Admin Actions Log Archive","Admin åtgärder Log Arkiv"
"Log Entry #%1","Loggpost #%1"
"Log Entry Details","Loggpost Detaljer"
"Source Data",Källdata
"Value Before Change","Värde före förändring"
"Value After Change","Värde efter förändring"
"No changes","Inga ändringar"
"The item was deleted","Objektet har tagits bort"
"All Users","Alla användare"
"Admin Actions Log","Åtgärdslog för administratör"
"Admin Actions Archive","Arkiv för adminåtgärder"
"actions' 'label","åtgärder ' etikett"
"%1 & applied","%1 & tillämpas"
"Tax Rates Import","Importera Skattesatser"
"Attributes Updated","Attribut som uppdaterats"
"Currency Rates Saved","Sparade valutakurser"
"Cache types: %1 ","Cache typer %1 "
"Tax Rates Export","Exportera skattesattser"
"Unknown callback function: %1::%2","Okänd callback funktion: %1::%2"
Success,Klart
IP-Address,IP-adress
Logging,Loggar
Archive,Arkiv
Move,Flytta
"Forgot Password","Glömt lösenord"
Reorder,"Beställ igen"
Print,"Skriv ut"
Run,Kör
Clean,Ren
Fetch,Hämta
Create,Skapa
"Cart Price Rules","Varukorg pris regler"
"Newsletter Templates","Nyhetsbrev mallar"
"Custom Variables","Anpassade variabler"
"Tax Rules",Momsregler
"XML Sitemap",XML-Sitemap
"Action Group",Åtgärdsgrupp
"IP Address",IP-adress
Partners,Samarbetspartners
"Platinum Partners",Platinumpartners
"Featured Platinum Partners","Platinum partner"
"Partner search","Sök samarbetspartner"
